category,Question,Correct Answer,Wrong Answer
US History,Who was the first President of the United States?,George Washington was the first President of the United States.,Abraham Lincoln was the first President of the United States.
US History,Where was the Declaration of Independence signed?,"The Declaration of Independence was signed in Philadelphia, Pennsylvania.","The Declaration of Independence was signed in London, England."
US History,Which war was fought between the North and the South of the United States?,The American Civil War was fought between the North and the South of the United States.,The Revolutionary War was fought between the North and the South of the United States.
Amimals & Nature,Which animal is known for its black and white stripes?,Zebra.,Cheetah.
Amimals & Nature,What is the national bird of the United States?,Bald eagle.,Peacock.
Amimals & Nature,Which animal is known for hibernating during the winter?,Bear.,Penguin.
Amimals & Nature,What is the fastest land animal?,Cheetah.,Hippopotamus.
Amimals & Nature,Which bird is known for its ability to mimic human speech?,Parrot.,Sparrow.
Amimals & Nature,Which animal has a long neck and lives in the grasslands of Africa?,Giraffe.,Rhinoceros.
Amimals & Nature,What is the largest species of shark?,Whale shark.,Great white shark.
Amimals & Nature,What is the national animal of Canada?,Beaver.,Moose.
Amimals & Nature,Which animal is known for its black and white coloration and lives in bamboo forests?,Giant panda.,Kangaroo.
Country Capitals,What is the capital of the United States?,"Washington, D.C.",New York City
Country Capitals,What is the capital of France?,Paris,London
Country Capitals,What is the capital of China?,Beijing,Shanghai
Country Capitals,What is the capital of Brazil?,Brasília,Rio de Janeiro
Country Capitals,What is the capital of Australia?,Canberra,Sydney
Country Capitals,What is the capital of India?,New Delhi,Mumbai
Country Capitals,What is the capital of Germany?,Berlin,Munich
Country Capitals,What is the capital of Russia?,Moscow,St. Petersburg
Country Capitals,What is the capital of Canada?,Ottawa,Toronto
Country Capitals,What is the capital of Japan?,Tokyo,Kyoto
Country Capitals,What is the capital of Italy?,Rome,Milan
Country Capitals,What is the capital of Mexico?,Mexico City,Cancun
Country Capitals,What is the capital of Spain?,Madrid,Barcelona
Country Capitals,What is the capital of Argentina?,Buenos Aires,Santiago
Country Capitals,What is the capital of Egypt?,Cairo,Alexandria
Country Capitals,What is the capital of South Korea?,Seoul,Busan
Basic Arithmetic,What is 2 + 2?,4,5
Basic Arithmetic,Subtract 5 from 12.,7,15
Basic Arithmetic,Multiply 3 by 4.,12,10
Basic Arithmetic,Divide 10 by 2.,5,3
Basic Arithmetic,What is the square root of 9?,3,6
Basic Arithmetic,Add 8 and 3.,11,9
Basic Arithmetic,Subtract 7 from 20.,13,17
Basic Arithmetic,Multiply 5 by 2.,10,8
Basic Arithmetic,Divide 16 by 4.,4,6
Basic Arithmetic,What is 3 raised to the power of 2?,9,5
Basic Arithmetic,What is 6 + 9?,15,10
Basic Arithmetic,Subtract 3 from 7.,4,6
Basic Arithmetic,Multiply 2 by 5.,10,12
Basic Arithmetic,Divide 18 by 3.,6,9
Basic Arithmetic,What is the square root of 16?,4,5
Basic Arithmetic,Add 12 and 6.,18,14
Basic Arithmetic,Subtract 4 from 15.,11,7
Basic Arithmetic,Multiply 7 by 3.,21,24
Basic Arithmetic,Divide 25 by 5.,5,6
Basic Arithmetic,What is 2 + 3?,5,6
Basic Arithmetic,Subtract 4 from 9.,5,7
Basic Arithmetic,Multiply 3 by 2.,6,5
Basic Arithmetic,Divide 10 by 2.,5,3
Basic Arithmetic,What is the square root of 4?,2,3
Basic Arithmetic,Add 5 and 3.,8,7
Basic Arithmetic,Subtract 2 from 7.,5,4
Basic Arithmetic,Multiply 4 by 3.,12,10
Basic Arithmetic,Divide 12 by 3.,4,6
Basic Arithmetic,What is 2 raised to the power of 3?,8,6
Basic Arithmetic,What is 1 + 1?,2,3
Basic Arithmetic,Subtract 2 from 5.,3,4
Basic Arithmetic,Multiply 2 by 3.,6,7
Basic Arithmetic,Divide 6 by 2.,3,2
Basic Arithmetic,What is the square root of 1?,1,2
Basic Arithmetic,Add 2 and 2.,4,5
Basic Arithmetic,Subtract 1 from 4.,3,2
Basic Arithmetic,Multiply 3 by 2.,6,8
Basic Arithmetic,Divide 8 by 2.,4,6
Basic Arithmetic,What is 2 raised to the power of 2?,4,3
Basic Arithmetic,What is 5 + 5?,10,11
Basic Arithmetic,Subtract 3 from 8.,5,7
Basic Arithmetic,Multiply 4 by 2.,8,10
Basic Arithmetic,Divide 12 by 3.,4,5
Basic Arithmetic,What is the square root of 25?,5,6
Basic Arithmetic,Add 10 and 20.,30,25
Basic Arithmetic,Subtract 5 from 15.,10,8
Basic Arithmetic,Multiply 6 by 4.,24,20
Basic Arithmetic,Divide 15 by 5.,3,4
Basic Arithmetic,What is the result of adding two and two?,The result of adding two and two is four.,The result of adding two and two is six.
Calendar,How many days are there in a week?,7,5
Calendar,Which day comes after Monday?,Tuesday,Sunday
Calendar,What is the first month of the year?,January,July
Calendar,How many months are there in a year?,12,6
Calendar,Which month comes before June?,May,July
Calendar,What is the last month of the year?,December,September
Calendar,Which day of the week comes after Sunday?,Monday,Wednesday
Calendar,In which month does Valentine's Day occur?,February,January
Calendar,Which day is commonly known as hump day?,Wednesday,Friday
Calendar,In which month is Halloween celebrated?,October,December
Calendar,How many months are in a year?,Twelve.,Thirteen.
Calendar,Which month has the shortest number of days?,February.,December.
Calendar,What day comes after Tuesday?,Wednesday.,Friday.
Calendar,What is the seventh month of the year?,July.,August.
Calendar,How many days are there in a non-leap year?,365 days.,364 days.
General Obvious Questions,What color is the sun?,Yellow,Purple
General Obvious Questions,How many legs does a cat have?,Four,Two
General Obvious Questions,What is the opposite of big?,Small,Medium
General Obvious Questions,What is the shape of a soccer ball?,Round,Square
General Obvious Questions,What do you use to write with?,Pen,Fork
General Obvious Questions,What is the main color of a banana?,Yellow,Blue
General Obvious Questions,What do you use to eat soup?,Spoon,Fork
General Obvious Questions,"What animal says ""meow""?",Cat,Cow
General Obvious Questions,What is the opposite of up?,Down,Sideways
General Obvious Questions,What is the shape of a stop sign?,Octagon,Circle
General Obvious Questions,What is the main color of grass?,Green,Orange
General Obvious Questions,What do you use to eat cereal?,Bowl,Plate
General Obvious Questions,"What animal says ""woof""?",Dog,Elephant
General Obvious Questions,What is the opposite of hot?,Cold,Warm
General Obvious Questions,What is the shape of a traffic light?,Circle,Triangle
General Obvious Questions,What do you use to drink water?,Cup,Shoe
General Obvious Questions,"What animal says ""quack""?",Duck,Lion
General Obvious Questions,What is the opposite of in?,Out,Inside
General Obvious Questions,What is the shape of a cookie?,Circle,Square
General Obvious Questions,What do you use to wash your hands?,Soap,Toothbrush
General Obvious Questions,What is the main color of the sky?,Blue,Pink
General Obvious Questions,What do you use to eat spaghetti?,Fork,Spoon
General Obvious Questions,"What animal says ""oink""?",Pig,Monkey
General Obvious Questions,What is the opposite of fast?,Slow,Quick
General Obvious Questions,What is the shape of a door?,Rectangle,Oval
General Obvious Questions,What do you use to blow up a balloon?,Air,Water
General Obvious Questions,What is the main color of an apple?,Red,Purple
General Obvious Questions,What do you use to eat ice cream?,Spoon,Chopsticks
General Obvious Questions,What is the opposite of wet?,Dry,Damp
General Obvious Questions,What is the shape of a clock?,Circle,Square
General Obvious Questions,What is the main color of a lemon?,Yellow,Brown
General Obvious Questions,What is the opposite of day?,Night,Morning
