,Question,Right,Wrong
39,"What is an animal that looks like a cat but has black and white stripes, and lives in Asia?",The tiger.,The giraffe.
40,What is an animal that can fly and drinks nectar from flowers?,The hummingbird.,The elephant.
41,What is an animal that can swim and is known for holding its breath for a long time?,The dolphin.,The snake.
42,"What is an animal that is round, puffy, and gray, and known for being able to squirt water from its trunk?",The elephant.,The zebra.
43,"What animal is known for having a big, bushy tail and gathering acorns for the winter?",The squirrel.,The horse.
44,"What is an animal that lives underground, has sharp claws, and is good at digging tunnels?",The mole.,The fish.
45,"What animal is known for having big ears and a bushy tail, and is able to climb trees?",The fox.,The whale.
46,What animal is known for its big belly and for liking to eat bamboo?,The panda.,The cheetah.
47,"What is an animal that can be found both in the ocean and on land, and is known for its hard shell?",The turtle.,The panda.
48,"What animal is known for its long, thin body and often found hiding in the grass?",The snake.,The kangaroo.
49,"What is an animal that can be found in both the Arctic and Antarctic regions, and is known for its black and white coloring?",The penguin.,The lion.
50,"What animal is known for having a long, bushy tail, and for being able to climb trees very well?",The raccoon.,The alligator.
51,What do plants need to grow?,"Water, sunlight, and soil.","Soda, pizza, and a blanket."
52,Can plants move by themselves?,No.,"Yes, they can run very fast."
53,What is the part of the plant that makes food for the plant?,Leaves.,Roots.
54,What is the name of the process that plants use to make their food?,Photosynthesis.,Telekinesis.
55,What part of a plant absorbs water and nutrients from the soil?,Roots.,Leaves.
56,How does water travel through a plant?,Through the stem.,By jumping over the plant.
57,What is the name of the process that allows plants to release water through their leaves?,Transpiration.,Inspiration.
58,Can plants grow without sunlight?,No.,"Yes, they can grow in complete darkness."
59,What is the name of the structure that holds the seeds of a flowering plant?,Fruit.,Socks.
60,How do bees and butterflies help plants?,By pollinating them.,By dancing with them.
61,Which is the smallest part of a plant?,Cell.,Elephant.
62,Which is the largest part of a plant?,Trunk.,Leaf.
63,What do we call a plant that lives for more than two years?,Perennial.,Millennial.
64,What is the name for plants that have woody stems?,Trees.,Cupcakes.
65,What is the name for plants that are not trees?,Shrubs.,Airplanes.
66,What is the name of the colored part of the flower that attracts insects?,Petals.,Curtains.
67,What do we call the stalk that supports the flower?,Stem.,Arm.
68,What do we call the small leaves that protect the flower when it's a bud?,Sepals.,Tassels.
69,What do we call the part of the plant that produces pollen?,Anther.,Fender.
70,What do we call the female part of the flower?,Pistil.,Pistol.
71,What is the name of the sticky substance that allows pollen to stick to bugs and birds?,Pollen grains.,Bubble gum.
72,Which part of the plant do we eat when we eat a carrot?,Root.,Leaf.
73,Which plant is known for its soft leaves and being used to stuff teddy bears?,Cotton.,Broccoli.
74,What do we call the type of plant that produces flowers but not seeds?,Fern.,Firework.
75,"What is the name of the tall grass that grows in wet areas and is known for its long, sharp leaves?",Reed.,Pencil.
76,Which is the most common flower color?,Red.,Rainbow.
77,What is the name of the plant that lives in water and has a stem that stands above the surface?,Lily pad.,Rainbow
78,What do we call the process of a seed growing into a plant?,Germination.,Imagination.
79,Which plant is known for having spiky leaves and being used to make aloe vera gel?,Aloe vera.,Cheese.
80,"Which plant is often associated with Halloween, with a black and orange appearance?",Pumpkin.,Giraffe.
81,What do we call a plant that is grown for its beauty or fragrance?,Ornamental plant.,Radio.
82,What do we call a plant that is grown to produce food for people or animals?,Crop.,Guitar.
83,What is the name of the plant that is known for its sour taste and is often used in cooking?,Lemon.,Shoe.
84,"What do we call the process of picking up seeds, fruits, and vegetables from a plant?",Harvesting.,Moonwalking.
85,What do we call the process of removing weeds from a garden?,Weeding.,Singing.
86,What is the name of the tool used for digging holes in the soil?,Shovel.,Hat.
87,What is the name of the tool used to prune plants?,Shears.,Hammer.
88,What do we call a plant that grows where it is not wanted?,Weed.,Book.
89,What is the name of the gas that plants breathe in?,Carbon dioxide.,Helium.
90,What is the name of the process by which water turns into vapor and is released from leaves?,Evaporation.,Teleportation.
91,What is the name of the leafy vegetable that is often used in salads?,Lettuce.,Lamp.
92,What is the name of the plant with a long stem that is often used to make pickles?,Cucumber.,Telephone.
93,"What is the name of the plant that produces a sweet, yellow fruit known for being high in potassium?",Banana.,Car.
94,What is the name of the plant that is famous for growing in the desert and having sharp spines?,Cactus.,Butterfly.
95,"What is the name of the plant that is known for being carnivorous, meaning it eats insects?",Venus flytrap.,Cupcake.
96,What do we call the practice of planting different crops in the same field each year to maintain soil fertility?,Crop rotation.,Cartwheel.
97,What is a type of fruit that is red on the outside and has seeds on the inside?,Strawberry,Apple
98,What type of drink is made from ground beans and is usually hot?,Coffee,Soda
99,"What is a round fruit that can be red, green, or yellow on the outside, and has a white inside with black seeds?",Watermelon,Banana
100,What type of meat comes from a pig?,Pork,Chicken
101,"What is a food that is usually long, yellow, and curved?",Banana,Carrot
102,What is a drink made from crushed grapes?,Wine,Milk
103,What is a type of sandwich that is made with peanut butter and jelly?,PB&J,Grilled cheese
104,What is a type of food that can be crunchy and comes in many different flavors?,Chips,Bread
105,"What is a round vegetable that can be red, yellow, or green, and is often used to make salads?",Tomato,Potato
106,What do cows produce that can be used to make cheese?,Milk,Oranges
107,What type of drink is usually carbonated and comes in many different flavors?,Soda,Water
108,"What type of fruit is green on the outside and pink on the inside, with black seeds?",Watermelon,Strawberry
109,"What type of food is usually long, yellow, and has a peel?",Banana,Broccoli
110,What type of drink is cold and made from frozen milk and sugar?,Ice cream shake,Coffee
111,What type of meat comes from a cow?,Beef,Fish
112,What is a food made from dough that is usually round and has toppings on it?,Pizza,Donut
113,"What is a round, juicy fruit that can be red, yellow, or green?",Apple,Carrot
114,What type of food comes in a shell and can be eaten raw or cooked?,Egg,Candy
115,What type of drink comes from a cow and is often white?,Milk,Juice
116,What type of meat comes from a turkey and is usually eaten on Thanksgiving?,Turkey,Ham
117,"What type of food is usually brown, crunchy, and made from wheat?",Bread,Pasta
118,What type of drink is made from tea leaves and can be served hot or cold?,Tea,Lemonade
119,"What is a type of sandwich that is made with ham, cheese, and bread?",Ham and cheese,Peanut butter and jelly
120,What type of meat comes from a chicken and can be fried or grilled?,Chicken,Steak
121,What is a type of food that comes in a can and is usually sweet?,Fruit cocktail,Vegetables
122,What is a type of drink that is made from fermented grains and comes in many different flavors?,Beer,Kool-Aid
123,What type of fruit is usually orange and can be peeled?,Orange,Blueberry
124,"What type of food is made from a thin, flat dough and can be topped with sauce and cheese?",Pizza,Pancakes
125,What type of drink is made from ground cocoa beans and can be hot or cold?,Chocolate milk,Lemonade
126,"What is a type of sandwich that is made with bacon, lettuce, and tomato?",BLT,Ham and cheese
127,What type of meat is often used to make hamburgers?,Beef,Chicken
128,What type of food is usually made from potatoes and can be fried or baked?,French fries,Carrots
129,What type of drink is made from fermented grapes and can be alcoholic?,Wine,Apple juice
130,What type of fruit is usually yellow and has a peel that can be peeled?,Banana,Watermelon
131,"What type of food is usually round, yellow, and can be eaten for breakfast?",Pancakes,Pizza
132,What type of drink is made from boiling water and ground coffee beans?,Coffee,Soda
133,What type of meat comes from a pig and is usually eaten for breakfast?,Bacon,Sausage
134,"What is a type of sandwich that is made with ham, cheese, and turkey?",Club sandwich,Peanut butter and jelly
135,"What type of food is usually made from dough, fried or baked, and can be sweet or savory?",Donut,Bread
136,"What type of drink is made from mashed fruit and sugar, and can be served hot or cold?",Juice,Coffee
137,What is a type of meat that comes in a can and is usually used for sandwiches?,Spam,Beef
138,What type of food is usually made from rice and can be mixed with vegetables and meat?,Fried rice,Pizza
139,"What type of fruit is usually green and has a brown, fuzzy outside?",Kiwi,Pineapple
140,"What type of drink is made from boiling water and teabags, and can be served with sugar or milk?",Tea,Orange juice
141,What is a type of sandwich that is made with tuna and mayonnaise?,Tuna salad,Grilled cheese
142,What type of food is usually made from ground wheat and can be cooked in many different ways?,Pasta,Rice
143,What type of drink is made from fermented grapes and is usually carbonated?,Champagne,Water
144,"What type of fruit is small, round, and usually purple, blue, or red?",Blueberry,Banana
145,"What type of food is usually long, orange, and can be cooked or eaten raw?",Carrots,Apples
146,What is music?,Music is a collection of sounds that are pleasant to listen to.,Music is a collection of things that we see.
147,What are some types of musical instruments?,"String, percussion, wind, and electronic instruments are common types.","Rock, country, and hip-hop instruments are the only types."
148,What is a melody?,A melody is a tune or series of notes that are played one after another.,A melody is a type of drum.
149,What is a beat?,A beat is the rhythm or pulse of the music.,A beat is a type of song.
150,Can music be fast or slow?,"Yes, music can be fast or slow.","No, music can only be one speed."
151,What is a song?,A song is a piece of music that includes lyrics or words.,A song is a type of dance.
152,What is a singer?,A singer is someone who sings or performs songs.,A singer is someone who plays a guitar.
153,What is a band?,A band is a group of musicians who play instruments together.,A band is a group of people who dance together.
154,What is a concert?,A concert is a live performance by musicians or singers.,A concert is a type of food.
155,What is a microphone?,A microphone is a device that amplifies sound and allows people to sing or speak into it.,A microphone is a type of instrument.
156,What is a music note?,A music note is a symbol on a sheet of music that represents a sound or pitch.,A music note is a type of instrument.
157,What is a piano?,A piano is a musical instrument with keys that are pressed to play different notes.,A piano is a type of drum.
158,What is a guitar?,A guitar is a musical instrument with strings and is played by strumming or picking.,A guitar is a type of piano.
159,What is a drum?,A drum is a musical instrument that is played by hitting it with sticks or hands.,A drum is a type of guitar.
160,What is a trumpet?,A trumpet is a brass instrument that is played by blowing into it and pressing the valves.,A trumpet is a type of drum.
161,What is a flute?,A flute is a wind instrument that is played by blowing into it and covering different holes to create different notes.,A flute is a type of guitar.
162,What is a saxophone?,A saxophone is a woodwind instrument that is played by blowing into it and pressing different keys.,A saxophone is a type of drum.
163,What is a violin?,A violin is a string instrument that is played by using a bow to create different notes.,A violin is a type of trumpet.
164,What is a conductor?,A conductor is the person who leads the musical performance and directs the musicians.,A conductor is a type of instrument.
165,What is a choir?,A choir is a group of singers who perform together.,A choir is a type of instrument.
166,What is the difference between a solo and an ensemble?,"A solo is a performance by one person, while an ensemble is a performance by a group of people.","There is no difference, they are the same thing."
167,What is the difference between a symphony and an orchestra?,"A symphony is a musical piece composed for a large ensemble, while an orchestra is the group of musicians who perform together.","There is no difference, they are the same thing."
168,Can you learn music at school?,"Yes, many schools offer music classes and lessons.","No, music cannot be learned at school."
169,What is a musical?,A musical is a type of theater production that includes singing and dancing.,A musical is a type of instrument.
170,What is a soundtrack?,A soundtrack is the music that accompanies a movie or television show.,A soundtrack is the name of a musical instrument.
171,What is a jingle?,A jingle is a short tune or song that is used in advertisements or commercials.,A jingle is a type of dance move.
172,What is a DJ?,A DJ is a person who plays and mixes recorded music for an audience.,A DJ is a type of musical instrument.
173,What is a record?,A record is a disc that has music or sound recorded onto it.,A record is a type of microphone.
174,What is a CD?,A CD is a disc that has digital music recorded onto it.,A CD is a type of record player.
175,What is an MP3 player?,An MP3 player is a device that plays digital music files.,An MP3 player is a type of guitar.
176,What is a speaker?,A speaker is a device that amplifies sound and allows you to hear music more clearly.,A speaker is a type of microphone.
177,What is a headset?,A headset is a device that you wear on your head and that lets you listen to music without disturbing others.,A headset is a type of musical instrument.
178,What is a stage?,A stage is the platform on which musicians or performers stand during a live performance.,A stage is a type of music note.
179,What is a rhythm?,A rhythm is the pattern of beats in music.,A rhythm is a type of dance.
180,What is a tempo?,Tempo is the speed of the music.,Tempo is the volume of the music.
181,What is an intro?,An intro is the beginning or opening section of a song.,An intro is the last section of a song.
182,What is an outro?,An outro is the closing or ending section of a song.,An outro is the beginning section of a song.
183,What is a verse?,A verse is a section of a song that typically has lyrics and a melody that repeats throughout the song.,A verse is a type of dance.
184,What is a chorus?,A chorus is a section of a song that is repeated several times throughout the song and typically includes the main melody and lyrics.,A chorus is a type of instrument.
185,What is a bridge?,A bridge is a section of a song that is used to connect or transition between different parts of the song.,A bridge is a type of musical instrument.
186,What is a pitch?,A pitch is the highness or lowness of a sound or note in music.,A pitch is the speed of the music.
187,What is a scale?,A scale is a series of musical notes played in a specific order.,A scale is a type of drum.
188,What is a key?,A key is the group or set of notes that a piece of music is written in.,A key is a type of guitar.
189,What is harmony?,Harmony is the combination of different notes or sounds played at the same time to create a pleasing sound.,Harmony is a type of rhythm.
190,What is the treble clef?,The treble clef is a musical symbol used to indicate notes that are higher in pitch.,The treble clef is a type of drum.
191,What is the bass clef?,The bass clef is a musical symbol used to indicate notes that are lower in pitch.,The bass clef is a type of piano.
192,What is a note duration?,A note duration is the length of time that note is played in music.,A note duration is the type of instrument.
193,What is a music sheet?,Music sheet is a paper form that shows the musical notation of a song.,Music sheet is a type of musical performance.
194,What is a sheet music stand?,A sheet music stand is a device that holds up music sheets for the musician.,A sheet music stand is a type of guitar.
195,What is a metronome?,"A metronome is a device that keeps time for musicians by producing a regular, steady beat.",A metronome is a type of microphone.
196,What are movies?,Movies are moving pictures that tell a story through sound and images.,Movies are still pictures that tell a story through touch.
197,Where do you usually watch movies?,People usually watch movies at the movie theater or at home.,People usually watch movies at the grocery store.
198,What do people eat while watching movies?,"People often eat popcorn, candy, and soda while watching movies.","People often eat pizza, soup, and mashed potatoes while watching movies."
199,What do we call the person who makes the movie?,The person who makes the movie is called the director.,The person who makes the movie is called the chef.
200,What do we call the person who acts in the movie?,The person who acts in the movie is called the actor or actress.,The person who acts in the movie is called the magician.
201,Can you name a movie?,"Yes, there are many movies, such as Frozen, Harry Potter, and Toy Story.","No, there are no movies."
202,What is the name of the movie with a clown named Pennywise?,The movie with the clown named Pennywise is called It.,The movie with the clown named Pennywise is called The Lion King.
203,What is the name of the movie with a robot named WALL-E?,The movie with the robot named WALL-E is called WALL-E.,The movie with the robot named WALL-E is called Finding Nemo.
204,What is the name of the movie with a young lion named Simba?,The movie with the young lion named Simba is called The Lion King.,The movie with the young lion named Simba is called The Jungle Book.
205,What is the name of the movie with a young girl named Cinderella?,The movie with the young girl named Cinderella is called Cinderella.,The movie with the young girl named Cinderella is called Sleeping Beauty.
206,What is the name of the movie with a snowman named Olaf?,The movie with the snowman named Olaf is called Frozen.,The movie with the snowman named Olaf is called The Incredibles.
207,What is the name of the movie with boats sinking?,The movie with boats sinking is called Titanic.,The movie with boats sinking is called Finding Nemo.
208,"What is the name of the movie with a big, friendly, grey elephant?","The movie with the big, friendly, grey elephant is called Dumbo.","The movie with the big, friendly, grey elephant is called Tarzan."
209,What is the name of the movie with a red sports car named Lightning McQueen?,The movie with the red sports car named Lightning McQueen is called Cars.,The movie with the red sports car named Lightning McQueen is called Transformers.
210,What is the name of the movie about a girl who goes on an adventure to find her ice queen sister?,The movie about a girl who goes on an adventure to find her ice queen sister is called Frozen.,The movie about a girl who goes on an adventure to find her ice queen sister is called Cinderella.
211,What do we call the musical parts in a movie?,The musical parts in a movie are called songs.,The musical parts in a movie are called dances.
212,What is the name of the song in Frozen where Elsa sings about letting go?,"The song in Frozen where Elsa sings about letting go is called ""Let It Go"".","The song in Frozen where Elsa sings about letting go is called ""Hakuna Matata""."
213,What is the name of the song in The Lion King where Simba sings about being king?,"The song in The Lion King where Simba sings about being king is called ""I Just Can't Wait to be King"".","The song in The Lion King where Simba sings about being king is called ""Hakuna Matata""."
214,What do we call the bad guy in a movie?,The bad guy in a movie is called the villain.,The bad guy in a movie is called the hero.
215,What do we call the good guy in a movie?,The good guy in a movie is called the hero.,The good guy in a movie is called the villain.
216,What do we call the funny parts in a movie?,The funny parts in a movie are called jokes or comedy.,The funny parts in a movie are called sadness.
217,Can movies be real or make-believe?,Movies can be both real and make-believe.,Movies are always make-believe.
218,What is 3D movie?,A 3D movie is a movie that appears to have depth and dimension because of the special glasses you wear.,A 3D movie is a movie where you can touch the characters.
219,Can you name an animated movie?,"Yes, there are many animated movies such as Finding Nemo, Toy Story, and The Little Mermaid.","No, I can't name an animated movie."
220,What is the name of the movie where Buzz Lightyear and Woody are toys?,The movie where Buzz Lightyear and Woody are toys is called Toy Story.,The movie where Buzz Lightyear and Woody are toys is called Cars.
221,Do movies have sound?,"Yes, movies have sound.","No, movies don't have sound."
222,What do we call the words at the bottom of the movie screen?,The words at the bottom of the movie screen are called subtitles.,The words at the bottom of the movie screen are called songs.
223,What do we call the list of actors in a movie?,The list of actors in a movie is called the credits.,The list of actors in a movie is called the script.
224,What is your favorite movie?,Everyone has a different favorite movie.,I don't like any movies.
225,What do we call the big screen in the movie theater?,The big screen in the movie theater is called the movie screen.,The big screen in the movie theater is called the playground.
226,Who makes movies?,"Many people work together to make a movie, such as the director, actors, writers, and producers.",Only one person makes a movie.
227,Can movies teach us things?,"Yes, movies can teach us things like history, science, and math.","No, movies can't teach us anything."
228,What is the name of the movie with a giant ape?,The movie with a giant ape is called King Kong.,The movie with a giant ape is called Spider-Man.
229,What is the name of the movie with a big shark?,The movie with a big shark is called Jaws.,The movie with a big shark is called Finding Nemo.
230,What is the name of the movie with a baby elephant with big ears?,The movie with a baby elephant with big ears is called Dumbo.,The movie with a baby elephant with big ears is called The Lion King.
231,What movie is about a mermaid who sings and wants to be human?,The movie about a mermaid who sings and wants to be human is called The Little Mermaid.,The movie about a mermaid who sings and wants to be human is called Snow White.
232,What is the name of the movie with a group of superheroes?,The movie with a group of superheroes is called The Avengers.,The movie with a group of superheroes is called The Lion King.
233,What is the name of the movie about a clownfish named Nemo?,The movie about a clownfish named Nemo is called Finding Nemo.,The movie about a clownfish named Nemo is called The Little Mermaid.
234,What do we call the place where we go to watch movies?,We call the place where we go to watch movies a movie theater or cinema.,We call the place where we go to watch movies a playground.
235,What do we call the big room in the movie theater with lots of seats?,The big room in the movie theater with lots of seats is called the theater or auditorium.,The big room in the movie theater with lots of seats is called the gym.
236,Why do people watch movies?,"People watch movies to be entertained, learn something new, or spend time with family and friends.",People watch movies to be sad.
237,What happens when the movie is over?,"When the movie is over, the credits will roll, and people will usually leave the theater.","When the movie is over, people will usually stay in their seats for another movie."
238,Can you name another movie?,"Yes, there are many movies, such as Moana, Jurassic Park, and The Wizard of Oz.","No, I can't name another movie."
239,What is the name of the movie with a girl who takes her toys to school?,The movie with a girl who takes her toys to school is called Toy Story.,The movie with a girl who takes her toys to school is called Finding Nemo.
240,What is the name of the movie with a bee that wants to be a pollen jock?,The movie with a bee that wants to be a pollen jock is called Bee Movie.,The movie with a bee that wants to be a pollen jock is called Cars.
241,What is the name of the movie where a group of toys go on a road trip?,The movie where a group of toys go on a road trip is called Toy Story 4.,The movie where a group of toys go on a road trip is called Cinderella.
242,What is the name of the movie about a boy who gets lost on a train to the North Pole?,The movie about a boy who gets lost on a train to the North Pole is called The Polar Express.,The movie about a boy who gets lost on a train to the North Pole is called The Lion King.
243,What is the name of the movie about a family of superheroes?,The movie about a family of superheroes is called The Incredibles.,The movie about a family of superheroes is called The Lion King.
244,What is the name of the movie about a young boy who learns to play the guitar?,The movie about a young boy who learns to play the guitar is called Coco.,The movie about a young boy who learns to play the guitar is called Cars.
245,What do we call the person who writes the story for the movie?,The person who writes the story for the movie is called the screenwriter.,The person who writes the story for the movie is called the director.
246,What is a television show?,A series of episodes shown on TV.,An animal that lives in the ocean.
247,What is your favorite television show?,Varies by individual.,A type of fruit.
248,"Who is the main character in the show ""SpongeBob SquarePants""?",SpongeBob.,Patrick.
249,"What is the name of the street where ""Sesame Street"" takes place?",Sesame Street.,Main Street.
250,"What is the name of the family in ""The Simpsons""?",The Simpsons.,The Johnsons.
251,Who lives in a pineapple under the sea?,SpongeBob SquarePants.,Mickey Mouse.
252,"What is the name of the tiger on ""Daniel Tiger's Neighborhood""?",Daniel Tiger.,Tony the Tiger.
253,"Who is the main character in ""Dora the Explorer""?",Dora.,Diego.
254,"What is the name of the friendly dinosaur in ""Barney & Friends""?",Barney.,T-Rex.
255,"What is the name of the little blue engine on ""Thomas & Friends""?",Thomas.,Percy.
256,"What is the name of the street where the characters on ""Barney & Friends"" play?",Main Street.,Sesame Street.
257,What is the name of the show where a group of friends live in an apartment in New York City?,Friends.,Seinfeld.
258,"Who is the main character in the show ""Paw Patrol""?",Ryder.,Skye.
259,What is the name of the cooking show where the contestants have to create dishes using certain ingredients?,MasterChef.,The Voice.
260,What is the name of the show where celebrities compete in dance competitions?,Dancing with the Stars.,America's Got Talent.
261,What is the name of the show where people sing while judges guess who they are behind a mask?,The Masked Singer.,The Bachelor.
262,Who lives in a castle and has a pet dragon named Zog?,Princess Pearl.,Cinderella.
263,What is the name of the show with a group of dogs that work for a town's rescue department?,Paw Patrol.,Bubble Guppies.
264,"Who is the main character in ""Peppa Pig""?",Peppa.,George.
265,What is the name of the show where a group of mermaids attend school underwater?,H2O: Just Add Water.,Shark Tale.
266,What is the name of the show where teenagers fight evil space aliens?,Power Rangers.,Transformers.
267,"Who hosts the talk show ""The Ellen Show""?",Ellen DeGeneres.,Oprah Winfrey.
268,What is the name of the show where a family lives in a yellow house and has three children?,The Simpsons.,The Flinstones.
269,What is the name of the show where a group of puppet friends learn about numbers and letters?,Sesame Street.,Blue's Clues.
270,"Who is the main character in ""Mickey Mouse Clubhouse""?",Mickey Mouse.,Donald Duck.
271,What is the name of the show where a group of friends attend a school for magic?,Harry Potter.,Sophia the First.
272,What is the name of the show where people go on adventures with a talking map?,Dora the Explorer.,Paw Patrol.
273,"Who hosts the game show ""Jeopardy""?",Alex Trebek (prior to his death in November 2020).,Steve Harvey.
274,What is the name of the show where a group of friends live in a treehouse and go on adventures?,The Magic School Bus.,The Powerpuff Girls.
275,What is the name of the show where a group of friends sing and solve problems in a colorful land?,Rainbow Rangers.,PJ Masks.
276,What is the name of the show where families compete in challenges in order to win a vacation?,Family Feud.,Survivor.
277,What is the name of the show where a group of sisters attend high school and form a rock band?,The Bratz.,Barbie Dreamhouse Adventures.
278,What is the name of the show where a superhero has to save the world from villains?,Spiderman.,Shrek.
279,What is the name of the show where a group of kids have to solve mysteries in a haunted town?,Scooby-Doo.,SpongeBob SquarePants.
280,What is the name of the show where a young girl and her unicorn go on adventures?,Mia and Me.,My Little Pony.
281,What is the name of the show where a group of friends live in a post-apocalyptic world?,The 100.,The Walking Dead.
282,What is the name of the show where a superhero wears a yellow and black suit and has a lightning bolt on his chest?,The Flash.,Batman.
283,What is the name of the show where a group of people try to survive on a deserted island?,Lost.,Castaway.
284,What is the name of the show where a group of friends try to catch a monkey?,Curious George.,Boots the Monkey.
285,What is the name of the show where a group of friends go on exciting sleepover adventures?,The Sleepover Club.,The Suite Life of Zack and Cody.
286,What is the name of the show where a young girl and her friends communicate with fairies?,Winx Club.,Hello Kitty.
287,"Who is the main character in ""Scooby-Doo""?",Scooby-Doo.,Shaggy.
288,What is the name of the show where a family owns a hotel and has to deal with various guests?,Hotel Transylvania.,The Brady Bunch.
289,What is the name of the show where a girl and her friends try to stop ghosts from taking over their town?,Ghostbusters.,Powerpuff Girls.
290,What is the name of the show where a group of friends play pranks on each other?,Impractical Jokers.,Saturday Night Live.
291,What is the name of the show where a group of friends try to save animals in trouble?,Ranger Rob.,Wild Kratts.
292,What is the name of the show where a girl and her horse try to become champions in their favorite sports?,Spirit Riding Free.,My Little Pony.
293,What is a book?,A book is a collection of written or printed pages that can be read.,A book is a type of animal.
294,What is the title of your favorite book?,{Student's answer},"The title of your favorite book is ""Green Eggs and Ham."""
295,"Who wrote ""Where the Wild Things Are""?",Maurice Sendak,Dr. Seuss
296,"What is the name of the boy who lived under the stairs in ""Harry Potter""?",Harry Potter,Ron Weasley
297,"What happens in the story ""The Three Little Pigs""?",The three little pigs build houses and the wolf tries to blow them down.,The three little pigs go on a picnic.
298,"What animal does the character Charlotte from ""Charlotte's Web"" befriend?",A pig named Wilbur,A cow named Bessie
299,"What is the name of the boy who visited a chocolate factory in ""Charlie and the Chocolate Factory""?",Charlie Bucket,Johnny Appleseed
300,"What is the name of the caterpillar in ""The Very Hungry Caterpillar""?",There is no name given.,Sammy the Snake
301,"What is the main character's name in ""The Cat in the Hat""?",The Cat in the Hat,Bob
302,"What is the name of the fairy in ""Peter Pan""?",Tinker Bell,Glinda the Good Witch
303,"What kind of animal is the main character in ""Curious George""?",A monkey,A giraffe
304,What is Dr. Seuss' real name?,Theodor Seuss Geisel,Walt Disney
305,"Who wrote ""Green Eggs and Ham""?",Dr. Seuss,J.K. Rowling
306,"What is the name of the family in ""Little House on the Prairie""?",The Ingalls family,The Smith family
307,"Where does ""The Lorax"" live?",In a tree,In a cave
308,"What is the name of the spider in ""Charlotte's Web""?",Charlotte,Samantha
309,"What is the name of the monster in ""Where the Wild Things Are""?",There is no given name.,Max
310,"What is the name of the boy who never grows up in ""Peter Pan""?",Peter Pan,Jack
311,"What happens at the end of ""The Giving Tree""?",The tree has nothing left to give to the boy.,The boy gives the tree a hug.
312,"What is the name of the boy who befriends a dragon in ""Eragon""?",Eragon,Bilbo Baggins
313,"Who wrote the ""Goosebumps"" series?",R.L. Stine,Stephen King
314,"What is the name of the monster in ""The Gruffalo""?",The Gruffalo,The Grouch
315,"What is the name of the bear in ""Winnie-the-Pooh""?",Winnie-the-Pooh,Yogi Bear
316,"What is the name of the rabbit in ""Alice's Adventures in Wonderland""?",The White Rabbit,The Blue Rabbit
317,"What is the name of the boy who visits a chocolate factory in ""Charlie and the Chocolate Factory""?",Charlie Bucket,James and the Giant Peach
318,"What is the name of the character who sings with the seven dwarves in ""Snow White""?",Snow White,Cinderella
